ProjectId,ProjectName,StartDate,TargetDate,CompletedDate,ProjectLink,CompletedLink,TotalHours,Variation,OthersInfo,BillingType,ClientId,Location,Size,Difficulty,Phase,LOD,FloorAreas,UnitArea,ListMember,ListLeader,ListManager,Avatar,AutoLoad
133-PRO-HKIA POOL,HKIA POOL,2021-12-20,2022-01-31,,,,880,,,Lump-Sum,10,,Medium,Standard,Detailed Design,300,0,m²,"(182),(232),(188),(235),(237),(169),(218),(229),(221),(176),(210),(220),(191),(245),(242)","(231),(183),(205),(187)","(88),(149),(61)",System.Byte[],06/13/2022 1:35:58 PM
PRO-000-ADT-001,ADITAZZ TEST,2021-12-27,2022-01-22,2022-01-19,,,100,,,Non-Billable,3,,Medium,Standard,Construction,N/A,0,m²,"(194),(209)",(213),"(212),(88),(149),(61)",System.Byte[],06/13/2022 1:35:58 PM
PRO-000-BD,PROJECT PROPOSAL,2021-04-22,2022-02-01,,,,0,,,Non-Billable,1,,Medium,Standard,Others,N/A,0,m²,"(216),(188),(209)",,"(61),(88),(149),(224),(73),(187),(212)",System.Byte[],06/13/2022 1:36:00 PM
PRO-000-RND,RND TASKS,2020-12-18,2025-01-01,,,,0,,,Non-Billable,1,,Small,Complex,Others,N/A,0,m²,"(194),(180),(224),(221),(229),(285)",(213),(212),System.Byte[],07/15/2022 5:34:06 PM
PRO-000-TBF,GENERAL MEP TASK,2021-01-01,2025-01-01,,,,0,,,Non-Billable,1,,Small,Standard,Construction,N/A,0,m²,"(228),(225),(170),(212),(271),(270),(278),(277),(282)",(151),"(187),(88),(149)",System.Byte[],06/14/2022 3:58:25 PM
PRO-000-TBF_DETAILS,STANDARDS - ARC DETAIL ITEMS,2021-12-07,2025-01-01,,,,100,,,Non-Billable,1,,Medium,Standard,Construction,N/A,0,m²,"(170),(218),(223),(225),(229),(220)",(205),"(217),(88),(149),(61),(73)",System.Byte[],06/13/2022 1:36:00 PM
PRO-000-TBF_TRAINING,TBF-TRAINING&TEMPLATE,2021-03-09,2025-12-31,,,,0,,,Non-Billable,1,,Medium,Standard,Others,N/A,0,m²,"(169),(183),(191),(200),(188),(203),(112),(206),(139),(199),(184),(190),(210),(182),(215),(209),(185),(216),(109),(192),(221),(208),(176),(217),(197),(218),(220),(223),(170),(196),(207),(198),(225),(219),(226),(227),(228),(229),(259),(260)","(140),(155),(205),(151)","(61),(224),(88),(149),(214),(73),(187),(212)",System.Byte[],06/13/2022 1:36:00 PM
PRO-000-TBF-STR,STR TEAM - PROJECT MANAGEMENT,2022-01-01,2022-12-31,,,,0,,,Non-Billable,1,,Small,Simple,Others,N/A,0,m²,,,"(73),(88),(149)",System.Byte[],06/13/2022 1:36:00 PM
PRO-000-UAI,UNREAL ENGINE LEARNING,2021-11-19,2022-06-01,,,,0,,,Non-Billable,28,,Medium,Standard,Construction,N/A,0,m²,"(229),(188)","(212),(213)","(88),(149),(61),(73)",System.Byte[],06/13/2022 1:36:00 PM
PRO-109-WOAA-01_A,WHISKY HOTEL_ARCHITECTURE,2021-03-04,2021-04-03,,Z:\5. BIM I&P\PRO-109-WHISKY_HOTEL,,1120,,,Lump-Sum,33,,Medium,Standard,Detailed Design,300,0,m²,"(185),(183),(208),(216),(169),(109),(191),(198),(221),(176),(205),(218)",(215),"(224),(73),(88),(149),(61)",System.Byte[],06/13/2022 1:36:03 PM
PRO-109-WOAA-01_REV1,WHISKEY HOTEL_ARCHITECTURE_SD,2021-11-27,2022-05-31,,,,100,,,Lump-Sum,33,,Medium,Standard,Construction,N/A,0,m²,"(208),(234),(176),(183),(210),(190),(228),(223),(196),(219),(229),(220),(207),(242),(247)","(231),(169),(187),(151)","(88),(149),(61)",System.Byte[],06/13/2022 1:36:02 PM
PRO-109-WOAA-01_S,WHISKY HOTEL_STRUCTURE,2021-03-12,2021-04-11,2022-03-30,Z:\5. BIM I&P\PRO-109-WHISKY_HOTEL,,50,,,Lump-Sum,33,,Medium,Standard,Others,N/A,0,m²,"(214),(206),(200),(203),(112)",(188),"(73),(88),(149),(61)",System.Byte[],06/13/2022 1:36:03 PM
