TaskId,ProjectId,TaskCode,TaskDiscipline,TaskType,SubTask,Name,Detail,UserIds,StartDate,TargetDate,FinishedDate,Hours,Modified,AutoLoad
3745,TBF-000-LEAVE,OTH-OTH-T,Other,Others,Others,TBF Activity,,,2022-01-01,2100-01-01,,0,,
3748,TBF-000-LEAVE,OTH-OTH-A,Other,Other,Other,Annual Leave,,,2022-01-01,2100-01-01,,0,,
3749,TBF-000-LEAVE,OTH-OTH-U,Other,Other,Other,Unpaid Leave,,,2022-01-01,2100-01-01,,0,,
3750,TBF-000-LEAVE,OTH-OTH-S,Other,Other,Other,Sick Leave,,,2022-01-01,2100-01-01,,0,,
3751,TBF-000-LEAVE,OTH-OTH-M,Other,Other,Other,Maternity Leave,,,2022-01-01,2100-01-01,,0,,
3752,TBF-000-LEAVE,OTH-OTH-P,Other,Other,Other,Paternity Leave,,,2022-01-01,2100-01-01,,0,,
3754,TBF-000-LEAVE,OTH-OTH-C,Other,Other,Other,Compassionate Leave,,,2022-01-01,2100-01-01,,0,,
3755,TBF-000-LEAVE,OTH-OTH-O,Other,Other,Other,Other Leave,,,2022-01-01,2100-01-01,,0,,
4603,PRO-138-KAP,ARC-MOD-NEWM-01,Architecture,Modelling,New Model,0.1 Review & Setup project,,"(176),(231),(109)",2022-03-14,2022-04-15,2022-07-11,0,,06/14/2022 1:38:58 PM
4604,PRO-138-KAP,ARC-MOD-NEWM,Architecture,Modelling,New Model,02. Model 3D,,"(176),(231),(109),(240)",2022-03-14,2022-04-15,2022-07-11,0,,07/18/2022 6:14:38 PM
4605,PRO-138-KAP,ARC-MOD-NEWM,Architecture,Modelling,New Model,03. Document 2D,,"(176),(231),(109),(240)",2022-03-14,2022-04-15,2022-07-11,0,,07/18/2022 6:17:21 PM
4606,PRO-139-PRIMAL GYM,ARC-MOD-NEWM-01,Architecture,Modelling,New Model,01. Review & Setup Project,,"(231),(258),(208),(274),(221),(191),(109),(247),(176),(232),(234),(240),(257)",2022-03-21,2022-05-31,,0,,06/13/2022 1:38:58 PM
4607,PRO-139-PRIMAL GYM,ARC-MOD-NEWM,Architecture,Modelling,New Model,02. 3D Model ,,"(231),(258),(208),(274),(221),(191),(109),(247),(176),(232),(234),(240),(257),(228),(225),(279),(283),(280)",2022-03-21,2022-07-31,,16416,,08/09/2022 9:14:19 AM
4608,PRO-139-PRIMAL GYM,ARC-2DD-NEWM,Architecture,2D Documentation,New Model,03. 2D Documentation,,"(231),(258),(208),(274),(221),(191),(109),(247),(176),(232),(234),(240),(257),(225),(228),(279),(283),(242),(280)",2022-03-21,2022-07-31,,17328,,08/09/2022 9:14:28 AM
4609,PRO-139-PRIMAL GYM,ARC-PJM-NEWM-01,Architecture,Project Management,New Model,04. Project Management & QA,,,2022-04-01,2022-04-08,,0,,06/13/2022 1:38:58 PM
4610,PRO-137-ADT-001,RND-RDT-STDM-01,RnD,Tools For Revit,Standardize Model,Programming - Create a new Generate window,"call this new window class “GenerateModelOptionView”.

use the existing “WallTypeOptionView” view, view model and model classes as a base for this task.",(194),2022-02-16,2022-04-30,2022-03-04,0,,06/13/2022 1:38:58 PM
4611,PRO-137-ADT-001,RND-RDT-STDM-02,RnD,Tools For Revit,Standardize Model,Programming - modify Revit Dodge ribbon buttons,don’t change “debug” panel,(194),2022-02-16,2022-04-30,2022-03-04,0,,06/13/2022 1:38:59 PM
4612,PRO-137-ADT-001,RND-RDT-STDM-03,RnD,Tools For Revit,Standardize Model,reroute all existing ribbon button commands by using new UI window,reroute all existing ribbon button commands by using new UI window,(194),2022-02-18,2022-02-22,2022-03-04,0,,06/13/2022 1:38:59 PM
4613,PRO-137-ADT-001,RND-RDT-STDM-04,RnD,Tools For Revit,Standardize Model,Screws Generator,,(194),2022-03-04,2022-03-11,2022-03-11,0,,06/13/2022 1:38:59 PM
4614,PRO-137-ADT-001,RND-RDT-STDM-05,RnD,Tools For Revit,Standardize Model,Set Work Element Parameter,,(194),2022-03-14,2022-03-18,2022-03-18,0,,06/13/2022 1:38:59 PM
4615,PRO-137-ADT-001,RND-RDT-STDM-06,RnD,Tools For Revit,Standardize Model,Footing Etc,,(194),2022-03-21,2022-03-22,2022-03-24,0,,06/13/2022 1:38:59 PM
4616,PRO-137-ADT-001,RND-RDT-STDM-07,RnD,Tools For Revit,Standardize Model,Stem Wall,,(194),2022-03-22,2022-03-27,2022-03-30,0,,06/13/2022 1:38:59 PM
4617,PRO-137-ADT-001,RND-RDT-STDM-08,RnD,Tools For Revit,Standardize Model,Rebar Footing,DODMVP-229-Test,(194),2022-03-29,2022-04-01,2022-04-13,0,,06/13/2022 1:38:59 PM
4618,PRO-137-ADT-001,RND-RDT-STDM-09,RnD,Tools For Revit,Standardize Model,Output csv file from stem wall panels,,(194),2022-04-05,2022-04-05,2022-04-05,5,,06/13/2022 1:38:59 PM
4619,PRO-137-ADT-001,RND-RDT-STDM-10,RnD,Tools For Revit,Standardize Model,Fix brick in second row of stemWall,,(194),2022-04-06,2022-04-06,2022-04-06,5,,06/13/2022 1:38:59 PM
4620,PRO-137-ADT-001,RND-RDT-STDM-11,RnD,Tools For Revit,Standardize Model,Create Rebar Footing,DODMVP-215,(194),2022-04-07,2022-04-15,2022-04-15,10,,06/13/2022 1:38:59 PM
4621,PRO-137-ADT-001,RND-RDT-STDM-12,RnD,Tools For Revit,Standardize Model,Pilaster etc,DODMVP-264,(194),2022-04-13,2022-04-16,2022-04-13,10,,06/13/2022 1:38:59 PM
4622,PRO-137-ADT-001,RND-RDT-STDM-13,RnD,Tools For Revit,Standardize Model,Stem wall rebar and ties,"DODMVP-302
https://aditazz.atlassian.net/browse/DODMVP-302",(194),2022-04-15,2022-04-18,2022-04-20,10,,06/13/2022 1:38:59 PM
4623,PRO-137-ADT-001,RND-RDT-STDM-14,RnD,Tools For Revit,Standardize Model,Fotting formwork generator,"DODMVP-325
https://aditazz.atlassian.net/browse/DODMVP-325",(194),2022-04-25,2022-04-25,2022-04-26,10,,06/13/2022 1:38:59 PM
4624,PRO-137-ADT-001,RND-RDT-STDM-15,RnD,Tools For Revit,Standardize Model,horizontal grout incorrect for A-size building,"DODMVP-324
https://aditazz.atlassian.net/browse/DODMVP-324",(194),2022-04-26,2022-04-26,2022-04-26,10,,06/13/2022 1:38:59 PM
4625,PRO-137-ADT-001,RND-RDT-STDM-16,RnD,Tools For Revit,Standardize Model,stem wall rebar missing for A-size building,"DODMVP-334
https://aditazz.atlassian.net/browse/DODMVP-334",(194),2022-04-26,2022-04-26,2022-04-26,10,,06/13/2022 1:38:59 PM
4626,PRO-137-ADT-001,RND-RDT-STDM-17,RnD,Tools For Revit,Standardize Model,"make all rebar ""solid""","DODMVP-333
https://aditazz.atlassian.net/browse/DODMVP-333",(194),2022-04-26,2022-04-26,2022-04-26,10,,06/13/2022 1:38:59 PM
4627,PRO-137-ADT-001,RND-RDT-STDM-18,RnD,Tools For Revit,Standardize Model,generate the excavation element,"DODMVP-337
https://aditazz.atlassian.net/browse/DODMVP-337",(194),2022-04-27,2022-04-27,2022-04-27,10,,06/13/2022 1:38:59 PM
4628,PRO-137-ADT-001,RND-RDT-STDM-19,RnD,Tools For Revit,Standardize Model,"put footing formwork (plywood, stakes, nails, and group) in the FORMWORK workset","DODMVP-341
https://aditazz.atlassian.net/browse/DODMVP-341",(194),2022-04-29,2022-04-29,2022-05-29,10,,06/13/2022 1:38:59 PM
4629,PRO-137-ADT-001,RND-RDT-STDM-20,RnD,Tools For Revit,Standardize Model,stem wall horizontal rebar revisited,"DODMVP-342
https://aditazz.atlassian.net/browse/DODMVP-342",(194),2022-04-29,2022-04-29,2022-04-29,10,,06/13/2022 1:38:59 PM
4630,PRO-137-ADT-001,RND-RDT-STDM-21,RnD,Tools For Revit,Standardize Model,without pilasters (just the slab),"DODMVP-360
https://aditazz.atlassian.net/browse/DODMVP-360",(194),2022-05-04,2022-05-04,2022-05-04,10,,06/13/2022 1:38:59 PM
4631,PRO-137-ADT-001,RND-TRV-STDM,RnD,Tools For Revit,Standardize Model,SPIKE: investigate how to automate creation of wire diagram in Revit,"DODMVP-321
https://aditazz.atlassian.net/browse/DODMVP-321",(194),2022-05-04,2022-05-10,2022-05-10,10,,06/16/2022 9:42:59 AM
4632,PRO-137-ADT-001,RND-TRV-STDM,RnD,Tools For Revit,Standardize Model,1st stake needs to be deleted when corner is turned convexly,"DODMVP-365
https://aditazz.atlassian.net/browse/DODMVP-365",(194),2022-05-05,2022-05-05,2022-05-05,10,,06/16/2022 9:43:20 AM
4633,PRO-137-ADT-001,RND-TRV-STDM,RnD,Tools For Revit,Standardize Model,RL bar length adjustments,"DODMVP-367
https://aditazz.atlassian.net/browse/DODMVP-367",(194),2022-05-06,2022-05-06,2022-05-06,10,,06/16/2022 9:46:04 AM
4634,PRO-000-ADT-001,RND-RDS-STDM-01,RnD,Software Development,Standardize Model,Programming Test,,"(212),(213),(194)",2021-12-27,2021-12-29,2022-01-19,0,,06/13/2022 1:38:59 PM
4635,PRO-000-ADT-001,STR-AST-STDM-01,Structure,AssetData,Standardize Model,Revit Family Test,,"(212),(213),(194),(209)",2021-12-20,2021-12-29,2022-01-07,0,,06/13/2022 1:38:59 PM
4636,PRO-132-ARSPAR-01,ARC-MOD-NEWM-01,Architecture,Modelling,New Model,01. QC,,"(216),(221)",2021-11-29,2022-04-30,,0,,06/13/2022 1:38:59 PM
4637,PRO-124-ATL-01,ARC-PJM-NEWM-01,Architecture,Project Management,New Model,00_Management/QC,,"(88),(61),(169)",2021-06-10,2021-06-13,2022-03-30,0,,06/13/2022 1:38:59 PM
4638,PRO-124-ATL-01,ARC-2DD-NEWM-01,Architecture,2D Documentation,New Model,01. Level 03 - Rooms,,"(169),(215),(219),(196),(206),(226),(151),(223),(205),(170),(207),(218),(229),(191),(225),(228)",2021-06-10,2021-06-13,2021-11-23,0,,06/13/2022 1:38:59 PM
4639,PRO-124-ATL-01,ARC-2DD-NEWM-02,Architecture,2D Documentation,New Model,02. Level 04 - Rooms,,"(151),(205),(170),(219),(223),(207),(218),(225),(229),(228),(196),(206),(226),(191),(169)",2021-06-21,2021-06-24,2021-11-23,0,,06/13/2022 1:38:59 PM
4640,PRO-124-ATL-01,ARC-2DD-NEWM-03,Architecture,2D Documentation,New Model,03. Level 05 - Rooms,,"(218),(229),(151),(205),(170),(196),(219),(207),(223),(228),(225),(206),(191)",2021-06-23,2021-06-28,2021-11-23,0,,06/13/2022 1:38:59 PM
4641,PRO-124-ATL-01,ARC-2DD-MGMT-01,Architecture,2D Documentation,Project Management,01.A Level 03 - QC,,"(169),(61),(205),(151)",2021-06-10,2021-06-28,2022-03-30,0,,06/13/2022 1:38:59 PM
4642,PRO-124-ATL-01,ARC-2DD-MGMT-02,Architecture,2D Documentation,Project Management,02.A Level 04 - QC,,"(169),(61),(205),(151)",2021-06-21,2021-06-28,2022-03-30,0,,06/13/2022 1:39:00 PM
4643,PRO-124-ATL-01,ARC-2DD-MGMT-03,Architecture,2D Documentation,Project Management,03.A Level 05 - QC,,"(169),(61),(205),(151)",2021-06-20,2021-06-28,2022-03-30,0,,06/13/2022 1:39:00 PM
4644,PRO-124-ATL-01,ARC-2DD-MGMT-04,Architecture,2D Documentation,Project Management,04.A Level 06 - QC,,"(169),(61),(205),(151)",2021-06-25,2021-06-28,2022-03-30,0,,06/13/2022 1:39:00 PM
4645,PRO-124-ATL-01,ARC-2DD-NEWM-04,Architecture,2D Documentation,New Model,04. Level 06 - Rooms,,"(218),(229),(205),(151),(219),(196),(170),(223),(228),(225),(207),(206),(191)",2021-06-24,2021-06-28,2021-11-23,0,,06/13/2022 1:39:00 PM
4646,PRO-124-ATL-01,ARC-2DD-NEWM-05,Architecture,2D Documentation,New Model,05. Level 07 - Rooms,,"(229),(218),(205),(151),(196),(170),(223),(228),(225),(207),(219),(206),(191)",2021-06-28,2021-07-01,2021-11-23,0,,06/13/2022 1:39:00 PM
4647,PRO-124-ATL-01,ARC-2DD-NEWM-06,Architecture,2D Documentation,New Model,06. Level 08 - Rooms,,"(225),(207),(229),(228),(218),(219),(196),(170),(205),(223),(151),(206)",2021-06-29,2021-07-02,2021-11-23,0,,06/13/2022 1:39:00 PM
4648,PRO-124-ATL-01,ARC-2DD-MGMT-05,Architecture,2D Documentation,Project Management,05.A Level 07 - QC,,"(169),(61),(205),(151)",2021-06-29,2021-07-02,2022-03-30,0,,06/13/2022 1:39:00 PM
4649,PRO-124-ATL-01,ARC-2DD-NEWM-07,Architecture,2D Documentation,New Model,07. Level 09 - Rooms,,"(151),(196),(170),(205),(225),(207),(229),(223),(219),(218),(228)",2021-07-01,2021-07-04,2021-11-23,0,,06/13/2022 1:39:00 PM
4650,PRO-124-ATL-01,ARC-2DD-NEWM-08,Architecture,2D Documentation,New Model,08. Level 01 - Rooms,,"(151),(170),(196),(205),(207),(218),(219),(223),(225),(228),(229)",2021-07-05,2021-07-06,2021-11-23,0,,06/13/2022 1:39:00 PM
4651,PRO-124-ATL-01,ARC-2DD-NEWM-09,Architecture,2D Documentation,New Model,09. Level 02 - Rooms,,"(151),(170),(196),(205),(207),(218),(219),(223),(225),(228),(229)",2021-07-05,2021-07-06,2021-11-23,0,,06/13/2022 1:39:00 PM
4652,PRO-124-ATL-01,ARC-2DD-NEWM-10,Architecture,2D Documentation,New Model,06.A Level 08 - QC,,"(151),(205),(61),(169)",2021-06-21,2021-07-01,2022-03-30,20,,06/13/2022 1:39:00 PM
4653,PRO-124-ATL-01,ARC-2DD-NEWM-11,Architecture,2D Documentation,New Model,07.A Level 09 - QC,,"(151),(205),(61),(169)",2021-07-01,2021-07-09,2022-03-30,20,,06/13/2022 1:39:00 PM
4654,PRO-124-ATL-01,ARC-2DD-NEWM-12,Architecture,2D Documentation,New Model,08.A Level 01 - QC,,"(151),(205),(61),(169)",2021-07-06,2021-07-09,2022-03-30,20,,06/13/2022 1:39:00 PM
4655,PRO-124-ATL-01,ARC-2DD-NEWM-13,Architecture,2D Documentation,New Model,09.A Level 02 - QC,,"(151),(205),(61),(169)",2021-07-06,2021-07-09,2022-03-30,20,,06/13/2022 1:39:00 PM
4656,PRO-124-ATL-01,ARC-2DD-STDM-01,Architecture,2D Documentation,Standardize Model,10. Revise Tag,,"(223),(207),(218),(219)",2021-07-09,2021-07-09,2022-03-30,0,,06/13/2022 1:39:00 PM
