Id,TaskId,ProjectId,UserId,UserDiscipline,ProjectRule,TSDate,TSHour,Adjustments,AutoLoad
151053,4604,PRO-138-KAP,176,Architecture,Member,2022-03-17,10,0,08/16/2022 10:04:58 AM
151054,4604,PRO-138-KAP,176,Architecture,Member,2022-03-18,9,0,06/13/2022 1:58:16 PM
151055,4604,PRO-138-KAP,176,Architecture,Member,2022-03-21,9,0,06/13/2022 1:58:16 PM
151056,4604,PRO-138-KAP,176,Architecture,Member,2022-03-22,9,0,06/13/2022 1:58:16 PM
151057,4604,PRO-138-KAP,176,Architecture,Member,2022-03-23,10,0,06/13/2022 1:58:16 PM
151058,4604,PRO-138-KAP,176,Architecture,Member,2022-03-24,11,0,06/13/2022 1:58:16 PM
151059,4604,PRO-138-KAP,176,Architecture,Member,2022-03-25,12,0,06/13/2022 1:58:16 PM
151060,4604,PRO-138-KAP,176,Architecture,Member,2022-03-28,10,0,06/13/2022 1:58:16 PM
151061,4604,PRO-138-KAP,176,Architecture,Member,2022-03-29,11,0,06/13/2022 1:58:16 PM
151062,4604,PRO-138-KAP,176,Architecture,Member,2022-03-30,9,0,06/13/2022 1:58:16 PM
151063,4605,PRO-138-KAP,176,Architecture,Member,2022-03-31,11,0,06/13/2022 1:58:16 PM
151064,4604,PRO-138-KAP,109,Architecture,Member,2022-03-22,9,0,06/13/2022 1:58:16 PM
151065,4604,PRO-138-KAP,109,Architecture,Member,2022-03-23,9,0,06/13/2022 1:58:16 PM
151066,4604,PRO-138-KAP,109,Architecture,Member,2022-03-24,11.5,0,06/13/2022 1:58:16 PM
151067,4604,PRO-138-KAP,109,Architecture,Member,2022-03-25,11.5,0,06/13/2022 1:58:16 PM
151068,4604,PRO-138-KAP,109,Architecture,Member,2022-03-28,9,0,06/13/2022 1:58:16 PM
151069,4604,PRO-138-KAP,109,Architecture,Member,2022-03-29,11,0,06/13/2022 1:58:16 PM
151070,4604,PRO-138-KAP,109,Architecture,Member,2022-03-30,9,0,06/13/2022 1:58:16 PM
151071,4604,PRO-138-KAP,109,Architecture,Member,2022-03-31,10,0,06/13/2022 1:58:16 PM
151072,4604,PRO-138-KAP,191,Architecture,Member,2022-03-30,9,0,06/13/2022 1:58:16 PM
151073,4604,PRO-138-KAP,191,Architecture,Member,2022-03-31,11,0,06/13/2022 1:58:17 PM
